Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 4,A508436107,770.56
2023-07-29,Supermarkt 4,A494741731,1087.86
2023-07-29,Supermarkt 4,A984047700,653.05
2023-07-29,Supermarkt 4,A686288763,123.42
2023-07-29,Supermarkt 4,A117653789,1016.06
2023-07-29,Supermarkt 4,A876634416,769.67
2023-07-29,Supermarkt 4,A444070196,1068.64
2023-07-29,Supermarkt 4,A267759769,859.99
2023-07-29,Supermarkt 4,A244182817,585.64
2023-07-29,Supermarkt 4,A357205926,557.32
2023-07-29,Supermarkt 4,A799771723,545.93
2023-07-29,Supermarkt 4,A577908064,61.81
2023-07-29,Supermarkt 4,A901248058,902.65
2023-07-29,Supermarkt 4,A502744906,534.06
2023-07-29,Supermarkt 4,A428175671,815.75
2023-07-29,Supermarkt 4,A401829730,108.08
2023-07-29,Supermarkt 4,A795990421,313.99
2023-07-29,Supermarkt 4,A842813962,608.43
2023-07-29,Supermarkt 4,A858280858,1062.53
2023-07-29,Supermarkt 4,A057188345,514.3
2023-07-29,Supermarkt 4,A370844032,889.1
2023-07-29,Supermarkt 4,A615548631,213.84
2023-07-29,Supermarkt 4,A788109666,793.66
2023-07-29,Supermarkt 4,A443834257,417.94
2023-07-29,Supermarkt 4,A070236562,511.29
2023-07-29,Supermarkt 4,A719609280,213.87
2023-07-29,Supermarkt 4,A760957598,567.09
2023-07-29,Supermarkt 4,A195934452,625.14
2023-07-29,Supermarkt 4,A431470276,229.05
2023-07-29,Supermarkt 4,A196351288,932.67
2023-07-29,Supermarkt 4,A440064773,876.01
2023-07-29,Supermarkt 4,A302066701,699.77
2023-07-29,Supermarkt 4,A386205094,147.37
2023-07-29,Supermarkt 4,A441032075,93.45
2023-07-29,Supermarkt 4,A466815911,271.25
2023-07-29,Supermarkt 4,A406253066,221.27
2023-07-29,Supermarkt 4,A822483184,140.83
2023-07-29,Supermarkt 4,A484628109,792.22
2023-07-29,Supermarkt 4,A096319128,745.09
2023-07-29,Supermarkt 4,A309161420,680.02
2023-07-29,Supermarkt 4,A708079024,1113.2
2023-07-29,Supermarkt 4,A915048649,688.38
2023-07-29,Supermarkt 4,A119739307,367.05
2023-07-29,Supermarkt 4,A166076933,303.32
2023-07-29,Supermarkt 4,A689793331,1041.52
2023-07-29,Supermarkt 4,A968963374,578.43
2023-07-29,Supermarkt 4,A415633717,977.21
2023-07-29,Supermarkt 4,A453190985,146.2
2023-07-29,Supermarkt 4,A389820286,587.79
2023-07-29,Supermarkt 4,A639180066,639.15
2023-07-29,Supermarkt 4,A774527541,718.27
2023-07-29,Supermarkt 4,A415352287,885.75
2023-07-29,Supermarkt 4,A391796759,854.94
2023-07-29,Supermarkt 4,A249604557,600.75
2023-07-29,Supermarkt 4,A759796414,408.93
2023-07-29,Supermarkt 4,A879683144,935.59
2023-07-29,Supermarkt 4,A837431902,780.68
2023-07-29,Supermarkt 4,A718262438,672.76
2023-07-29,Supermarkt 4,A256112302,1084.19
2023-07-29,Supermarkt 4,A932791455,813.25
2023-07-29,Supermarkt 4,A204561996,186.57
2023-07-29,Supermarkt 4,A269162423,912.75
2023-07-29,Supermarkt 4,A161266261,715.98
2023-07-29,Supermarkt 4,A462873388,933.13
2023-07-29,Supermarkt 4,A259269533,205.55
2023-07-29,Supermarkt 4,A100383009,742.38
2023-07-29,Supermarkt 4,A925803299,1006.13
2023-07-29,Supermarkt 4,A281893127,300.01
2023-07-29,Supermarkt 4,A733020003,590.27
2023-07-29,Supermarkt 4,A285192310,1088.28
2023-07-29,Supermarkt 4,A293518081,862.31
2023-07-29,Supermarkt 4,A407017321,941.98
2023-07-29,Supermarkt 4,A672934396,973.2
2023-07-29,Supermarkt 4,A861838247,235.34
2023-07-29,Supermarkt 4,A206963091,570.69
2023-07-29,Supermarkt 4,A545827736,842.44
2023-07-29,Supermarkt 4,A336626935,779.16
2023-07-29,Supermarkt 4,A783967271,1002.25
2023-07-29,Supermarkt 4,A219566210,904.89
2023-07-29,Supermarkt 4,A692825854,1046.55
2023-07-29,Supermarkt 4,A432623837,822.77
2023-07-29,Supermarkt 4,A271020056,415.4
2023-07-29,Supermarkt 4,A218706015,1192.6
2023-07-29,Supermarkt 4,A647689258,1124.25
2023-07-29,Supermarkt 4,A060525510,714.68
2023-07-29,Supermarkt 4,A970138619,511.41
2023-07-29,Supermarkt 4,A646289611,495.23
2023-07-29,Supermarkt 4,A936181898,180.71
2023-07-29,Supermarkt 4,A743950473,663.84
2023-07-29,Supermarkt 4,A661280904,703.45
2023-07-29,Supermarkt 4,A447441224,1129.2
2023-07-29,Supermarkt 4,A318969990,208.45
2023-07-29,Supermarkt 4,A347889922,353.29
2023-07-29,Supermarkt 4,A103882825,1073.17
2023-07-29,Supermarkt 4,A209936447,343.56
2023-07-29,Supermarkt 4,A492130694,1115.35
2023-07-29,Supermarkt 4,A257121278,1112.35
2023-07-29,Supermarkt 4,A167270383,548.2
2023-07-29,Supermarkt 4,A554203473,231.35
2023-07-29,Supermarkt 4,A216470301,73.42
2023-07-29,Supermarkt 4,A015992600,1148.33
2023-07-29,Supermarkt 4,A941664355,476.02
2023-07-29,Supermarkt 4,A908898659,206.62
2023-07-29,Supermarkt 4,A642959207,1187.1
2023-07-29,Supermarkt 4,A190737868,584.26
2023-07-29,Supermarkt 4,A665470491,301.84
2023-07-29,Supermarkt 4,A838124959,1136.22
2023-07-29,Supermarkt 4,A971920912,357.75
2023-07-29,Supermarkt 4,A430394922,345.69
2023-07-29,Supermarkt 4,A202790850,732.21
2023-07-29,Supermarkt 4,A789691095,672.48
2023-07-29,Supermarkt 4,A952833316,787.23
2023-07-29,Supermarkt 4,A869001989,222.66
2023-07-29,Supermarkt 4,A157008676,374.75
2023-07-29,Supermarkt 4,A481336701,345.44
2023-07-29,Supermarkt 4,A540577545,815.7
2023-07-29,Supermarkt 4,A638132714,668.81
2023-07-29,Supermarkt 4,A625701902,1078.77
2023-07-29,Supermarkt 4,A564797522,526.08
2023-07-29,Supermarkt 4,A502257203,499.26
2023-07-29,Supermarkt 4,A609657051,133.63
2023-07-29,Supermarkt 4,A880401448,1159.59
2023-07-29,Supermarkt 4,A956057291,499.07
2023-07-29,Supermarkt 4,A274376555,804.27
2023-07-29,Supermarkt 4,A883464440,869.56
2023-07-29,Supermarkt 4,A032586403,912.23
2023-07-29,Supermarkt 4,A860770745,444.93
2023-07-29,Supermarkt 4,A192593344,868.4
2023-07-29,Supermarkt 4,A936988377,1118.01
2023-07-29,Supermarkt 4,A367809571,140.33
2023-07-29,Supermarkt 4,A154673786,309.85
2023-07-29,Supermarkt 4,A573123389,583.45
2023-07-29,Supermarkt 4,A659752955,975.73
2023-07-29,Supermarkt 4,A120705759,656.07
2023-07-29,Supermarkt 4,A533393063,28.22
2023-07-29,Supermarkt 4,A210781251,438.96
2023-07-29,Supermarkt 4,A286107156,562.06
2023-07-29,Supermarkt 4,A903355948,690.34
2023-07-29,Supermarkt 4,A003230639,291.1
2023-07-29,Supermarkt 4,A472646255,687.31
2023-07-29,Supermarkt 4,A506087161,413.22
2023-07-29,Supermarkt 4,A923747155,1096.4
2023-07-29,Supermarkt 4,A999051936,156.74
2023-07-29,Supermarkt 4,A215066418,1187.39
2023-07-29,Supermarkt 4,A310750042,895.96
2023-07-29,Supermarkt 4,A277788007,1057.71
2023-07-29,Supermarkt 4,A480329290,259.78
2023-07-29,Supermarkt 4,A726425454,926.29
2023-07-29,Supermarkt 4,A089319967,472.0
2023-07-29,Supermarkt 4,A772064371,885.54
2023-07-29,Supermarkt 4,A499199706,703.43
2023-07-29,Supermarkt 4,A163515916,121.87
2023-07-29,Supermarkt 4,A688115514,710.05
2023-07-29,Supermarkt 4,A591306683,226.45
2023-07-29,Supermarkt 4,A816122182,507.3
2023-07-29,Supermarkt 4,A565203560,395.99
2023-07-29,Supermarkt 4,A651549678,620.43
2023-07-29,Supermarkt 4,A297970815,542.87
2023-07-29,Supermarkt 4,A628875519,836.19
2023-07-29,Supermarkt 4,A682002108,525.17
2023-07-29,Supermarkt 4,A612437288,866.39
2023-07-29,Supermarkt 4,A911689206,1022.74
2023-07-29,Supermarkt 4,A858681613,191.71
2023-07-29,Supermarkt 4,A192311666,200.99
2023-07-29,Supermarkt 4,A131098593,847.59
2023-07-29,Supermarkt 4,A227233465,823.1
2023-07-29,Supermarkt 4,A194551737,1191.47
2023-07-29,Supermarkt 4,A502100964,969.43
2023-07-29,Supermarkt 4,A655558942,917.0
2023-07-29,Supermarkt 4,A291558880,300.54
2023-07-29,Supermarkt 4,A189025788,625.85
2023-07-29,Supermarkt 4,A918926482,51.41
2023-07-29,Supermarkt 4,A925024236,638.39
2023-07-29,Supermarkt 4,A972702809,466.17
2023-07-29,Supermarkt 4,A263998349,836.19
2023-07-29,Supermarkt 4,A748685023,57.11
2023-07-29,Supermarkt 4,A645860259,250.91
2023-07-29,Supermarkt 4,A389120771,486.37
2023-07-29,Supermarkt 4,A753883151,536.83
2023-07-29,Supermarkt 4,A872935781,477.01
2023-07-29,Supermarkt 4,A868317939,622.94
2023-07-29,Supermarkt 4,A252916767,350.32
2023-07-29,Supermarkt 4,A386086695,1026.56
2023-07-29,Supermarkt 4,A817818516,555.06
2023-07-29,Supermarkt 4,A669505911,162.95
2023-07-29,Supermarkt 4,A473609569,604.05
2023-07-29,Supermarkt 4,A550171681,594.43
2023-07-29,Supermarkt 4,A625343472,288.7
2023-07-29,Supermarkt 4,A083655087,645.23
2023-07-29,Supermarkt 4,A812415918,437.41
2023-07-29,Supermarkt 4,A668549402,1123.52
2023-07-29,Supermarkt 4,A096923443,367.24
2023-07-29,Supermarkt 4,A409715350,474.78
2023-07-29,Supermarkt 4,A354910556,493.21
2023-07-29,Supermarkt 4,A742411969,1152.49
2023-07-29,Supermarkt 4,A654987724,554.92
2023-07-29,Supermarkt 4,A896705263,343.94
2023-07-29,Supermarkt 4,A646348818,826.32
2023-07-29,Supermarkt 4,A999836824,991.92
2023-07-29,Supermarkt 4,A607533685,571.51
2023-07-29,Supermarkt 4,A111347135,906.58
2023-07-29,Supermarkt 4,A041210510,924.57
2023-07-29,Supermarkt 4,A041903818,135.03
2023-07-29,Supermarkt 4,A412451698,575.35
2023-07-29,Supermarkt 4,A396460306,492.05
2023-07-29,Supermarkt 4,A419120732,182.4
2023-07-29,Supermarkt 4,A751246902,773.31
2023-07-29,Supermarkt 4,A334081849,35.13
2023-07-29,Supermarkt 4,A001581028,938.6
